市町村コード,都道府県名,市町村名,地域,年度,区分,施設名,利用者数（人）,補足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2012(平成24）,スキー場,大曲スキー場,"13,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2013(平成25）,スキー場,大曲スキー場,"12,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2014(平成26）,スキー場,大曲スキー場,"13,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2015(平成27）,スキー場,大曲スキー場,"8,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2016(平成28）,スキー場,大曲スキー場,"7,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2017(平成29）,スキー場,大曲スキー場,"9,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2018(平成30）,スキー場,大曲スキー場,"9,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2019(令和1）,スキー場,大曲スキー場,0,雪不足による早期営業終了のため利用者なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2006(平成18）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,-,データなし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2007(平成19）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,-,データなし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2008(平成20）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,-,データなし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2009(平成21）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"3,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2010(平成22）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2011(平成23）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2012(平成24）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2013(平成25）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2014(平成26）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2015(平成27）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2016(平成28）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2017(平成29）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2018(平成30）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2019(令和1）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2006(平成18）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2007(平成19）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"6,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2008(平成20）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"11,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2009(平成21）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2010(平成22）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2011(平成23）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"3,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2012(平成24）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"3,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,大曲地域,2013(平成25）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
