市町村コード,都道府県名,市町村名,年度,財源区分,歳入項目,決算額（千円）,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,利子割交付金,13178,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,配当割交付金,35051,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,株式等譲渡取得割交付金,15250,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,地方消費税交付金,1001821,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,ゴルフ場利用税交付金,14834,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,自動車取得税交付金,92994,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,地方特例交付金,26519,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,地方交付税,21197387,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,交通安全対策特別交付金,16395,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,国庫支出金,5764497,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,県支出金,3375704,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2014(平成26）,依存財源,市債,5877912,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,市税,7814557,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,分担金・負担金,227051,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,使用料・手数料,453268,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,財産収入,132163,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,寄付金（含む繰入金),248527,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,繰越金,1129956,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,自主財源,諸収入,1571609,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,地方譲与税,773787,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,利子割交付金,12483,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,配当割交付金,26670,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,株式等譲渡取得割交付金,18367,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,地方消費税交付金,1678409,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,ゴルフ場利用税交付金,15735,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,自動車取得税交付金,106995,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,地方特例交付金,27946,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,地方交付税,20586461,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,交通安全対策特別交付金,17269,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,国庫支出金,6047810,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,県支出金,4474209,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2015(平成27）,依存財源,市債,5195340,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,市税,7923691,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,分担金・負担金,193695,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,使用料・手数料,480311,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,財産収入,100230,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,寄付金（含む繰入金),705397,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,繰越金,1705832,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,自主財源,諸収入,1455900,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,地方譲与税,764563,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,利子割交付金,10408,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,配当割交付金,12919,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,株式等譲渡取得割交付金,6845,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,法人事業税交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,地方消費税交付金,1492012,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,ゴルフ場利用税交付金,15018,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,自動車取得税交付金,121211,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,環境性能割交付金,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,地方特例交付金,29845,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,地方交付税,19887832,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,交通安全対策特別交付金,15929,,,,,,,,,,,,,,,
05212,秋田県,大仙市,2016(平成28）,依存財源,国庫支出金,5776432,,,,,,,,,,,,,,,
