市町村コード,都道府県名,市町村名,地域,年度,申請件数総数（件）,申請件数（5人槽）（件）,申請件数（6～7人槽）（件）,申請件数（8～10人槽）（件）,補助金決定額総額（千円）,補助金決定額（5人槽）（千円）,補助金決定額（6～7人槽）（千円）,補助金決定額（8～10人槽）（千円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2016(平成28）,24,8,16,0,"13,021","3,760","9,261",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2017(平成29）,24,9,14,1,"13,246","4,230","8,232",784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2018(平成30）,17,7,10,0,"9,052","3,172","5,880",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2019(令和1）,9,4,5,0,"4,141","1,644","2,497",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,中仙地域,2020(令和2）,11,7,4,0,"4,933","2,877","2,056",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2005(平成17),4,2,2,0,"2,438","1,124","1,314",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2006(平成18）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2007(平成19）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2008(平成20）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2009(平成21）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2010(平成22）,1,1,0,0,411,411,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2011(平成23）,1,1,0,0,411,411,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2012(平成24）,1,1,0,0,411,411,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2013(平成25）,1,0,1,0,514,0,514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2014(平成26）,1,1,0,0,470,470,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2015(平成27）,3,1,2,0,"1,646",470,"1,176",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2016(平成28）,1,1,0,0,470,470,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2017(平成29）,3,3,0,0,"1,410","1,410",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2018(平成30）,1,1,0,0,470,470,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
