市町村コード,都道府県名,市町村名,地域,年度,件数(件),死者(人),傷者(人),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2016(平成28),10 ,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2017(平成29),11 ,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2005(平成17),25 ,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2006(平成18),20 ,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2007(平成19),13 ,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2008(平成20),13 ,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2009(平成21),17 ,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2010(平成22),11 ,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2011(平成23),12 ,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2012(平成24),17 ,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2013(平成25),12 ,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2014(平成26),5 ,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2015(平成27),7 ,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2016(平成28),9 ,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2017(平成29),10 ,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
