市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数,利用者数
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2008(平成20）,494,"9,154"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2009(平成21）,558,"10,728"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2010(平成22）,492,"6,741"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2011(平成23）,387,"7,013"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2012(平成24）,495,"6,013"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2013(平成25）,432,"5,191"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2014(平成26）,415,"4,451"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2015(平成27）,351,"3,861"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2016(平成28）,383,"4,539"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2017(平成29）,377,"5,053"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2018(平成30）,398,"4,044"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2019(令和1）,382,"4,173"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2020(令和2）,281,"2,385"
052124,秋田県,大仙市,西仙北地域,強首地区公民館,2021(令和3）,323,"3,330"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2005(平成17),499,"8,633"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2006(平成18）,403,"5,731"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2007(平成19）,446,"7,270"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2008(平成20）,439,"6,038"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2009(平成21）,439,"5,951"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2010(平成22）,475,"5,792"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2011(平成23）,387,"5,693"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2012(平成24）,343,"4,364"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2013(平成25）,390,"4,852"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2014(平成26）,392,"4,540"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2015(平成27）,393,"4,541"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2016(平成28）,351,"4,465"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2017(平成29）,363,"5,570"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2018(平成30）,394,"4,632"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2019(令和1）,415,"4,025"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2020(令和2）,359,"2,793"
052124,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2021(令和3）,304,"2,987"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1991(平成3),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1992(平成4),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1993(平成5),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1994(平成6),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1995(平成7),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1996(平成8),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1997(平成9),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1998(平成10),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,1999(平成11),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2000(平成12),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2001(平成13),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2002(平成14),-,-
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2003(平成15),"1,178","41,135"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2004(平成16),"2,075","50,369"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2005(平成17),"1,721","57,247"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2006(平成18),"2,501","69,472"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2007(平成19),"1,923","55,504"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2008(平成20),"2,183","61,350"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2009(平成21),"2,828","55,713"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2010(平成22),"2,406","54,723"
052124,秋田県,大仙市,中仙地域,中仙公民館（市民会館）,2011(平成23),"2,338","51,113"
