市町村コード,都道府県名,市町村名,地域,年度,区分,施設名,利用者数（人）,補足
052124,秋田県,大仙市,大曲地域,2013(平成25）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,405",
052124,秋田県,大仙市,大曲地域,2014(平成26）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,658",
052124,秋田県,大仙市,大曲地域,2015(平成27）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,731",
052124,秋田県,大仙市,大曲地域,2016(平成28）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,982",
052124,秋田県,大仙市,大曲地域,2017(平成29）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,644",
052124,秋田県,大仙市,大曲地域,2018(平成30）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,031",
052124,秋田県,大仙市,大曲地域,2019(令和1）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"2,767",
052124,秋田県,大仙市,大曲地域,2020(令和2）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,896,
052124,秋田県,大仙市,大曲地域,2021(令和3）,グラウンド・ゴルフ場,大仙市総合公園多目的広場,"1,534",
052124,秋田県,大仙市,大曲地域,2006(平成18）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,074",
052124,秋田県,大仙市,大曲地域,2007(平成19）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"6,751",
052124,秋田県,大仙市,大曲地域,2008(平成20）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"11,729",
052124,秋田県,大仙市,大曲地域,2009(平成21）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,936,
052124,秋田県,大仙市,大曲地域,2010(平成22）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,913,
052124,秋田県,大仙市,大曲地域,2011(平成23）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"3,410",
052124,秋田県,大仙市,大曲地域,2012(平成24）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"3,242",
052124,秋田県,大仙市,大曲地域,2013(平成25）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,029",
052124,秋田県,大仙市,大曲地域,2014(平成26）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,580",
052124,秋田県,大仙市,大曲地域,2015(平成27）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,491",
052124,秋田県,大仙市,大曲地域,2016(平成28）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,858",
052124,秋田県,大仙市,大曲地域,2017(平成29）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,801",
052124,秋田県,大仙市,大曲地域,2018(平成30）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,491",
052124,秋田県,大仙市,大曲地域,2019(令和1）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"4,294",
052124,秋田県,大仙市,大曲地域,2020(令和2）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"2,878",
052124,秋田県,大仙市,大曲地域,2021(令和3）,グラウンド・ゴルフ場,「大曲の花火」公園多目的広場,"3,185",
052124,秋田県,大仙市,大曲地域,2006(平成18）,サッカー場,「大曲の花火」公園多目的広場,851,
052124,秋田県,大仙市,大曲地域,2007(平成19）,サッカー場,「大曲の花火」公園多目的広場,470,
052124,秋田県,大仙市,大曲地域,2008(平成20）,サッカー場,「大曲の花火」公園多目的広場,"1,132",
052124,秋田県,大仙市,大曲地域,2009(平成21）,サッカー場,「大曲の花火」公園多目的広場,"1,678",
052124,秋田県,大仙市,大曲地域,2010(平成22）,サッカー場,「大曲の花火」公園多目的広場,"1,069",
052124,秋田県,大仙市,大曲地域,2011(平成23）,サッカー場,「大曲の花火」公園多目的広場,"1,240",
052124,秋田県,大仙市,大曲地域,2012(平成24）,サッカー場,「大曲の花火」公園多目的広場,"1,700",
052124,秋田県,大仙市,大曲地域,2013(平成25）,サッカー場,「大曲の花火」公園多目的広場,"2,016",
052124,秋田県,大仙市,大曲地域,2014(平成26）,サッカー場,「大曲の花火」公園多目的広場,"1,490",
052124,秋田県,大仙市,大曲地域,2015(平成27）,サッカー場,「大曲の花火」公園多目的広場,"2,040",
052124,秋田県,大仙市,大曲地域,2016(平成28）,サッカー場,「大曲の花火」公園多目的広場,"1,591",
052124,秋田県,大仙市,大曲地域,2017(平成29）,サッカー場,「大曲の花火」公園多目的広場,"1,220",
052124,秋田県,大仙市,大曲地域,2018(平成30）,サッカー場,「大曲の花火」公園多目的広場,"3,220",
052124,秋田県,大仙市,大曲地域,2019(令和1）,サッカー場,「大曲の花火」公園多目的広場,"2,610",
052124,秋田県,大仙市,大曲地域,2020(令和2）,サッカー場,「大曲の花火」公園多目的広場,"1,680",
052124,秋田県,大仙市,大曲地域,2021(令和3）,サッカー場,「大曲の花火」公園多目的広場,"1,240",
052124,秋田県,大仙市,大曲地域,2006(平成18）,サッカー場,花館グラウンド運動公園,"5,680",
052124,秋田県,大仙市,大曲地域,2007(平成19）,サッカー場,花館グラウンド運動公園,"3,620",
052124,秋田県,大仙市,大曲地域,2008(平成20）,サッカー場,花館グラウンド運動公園,"4,432",
052124,秋田県,大仙市,大曲地域,2009(平成21）,サッカー場,花館グラウンド運動公園,"4,180",
052124,秋田県,大仙市,大曲地域,2010(平成22）,サッカー場,花館グラウンド運動公園,"3,435",
052124,秋田県,大仙市,大曲地域,2011(平成23）,サッカー場,花館グラウンド運動公園,"5,154",
052124,秋田県,大仙市,大曲地域,2012(平成24）,サッカー場,花館グラウンド運動公園,"4,592",
052124,秋田県,大仙市,大曲地域,2013(平成25）,サッカー場,花館グラウンド運動公園,"3,623",
052124,秋田県,大仙市,大曲地域,2014(平成26）,サッカー場,花館グラウンド運動公園,"5,725",
052124,秋田県,大仙市,大曲地域,2015(平成27）,サッカー場,花館グラウンド運動公園,"4,200",
052124,秋田県,大仙市,大曲地域,2016(平成28）,サッカー場,花館グラウンド運動公園,"5,259",
052124,秋田県,大仙市,大曲地域,2017(平成29）,サッカー場,花館グラウンド運動公園,"4,205",
052124,秋田県,大仙市,大曲地域,2018(平成30）,サッカー場,花館グラウンド運動公園,"3,179",
052124,秋田県,大仙市,大曲地域,2019(令和1）,サッカー場,花館グラウンド運動公園,"2,610",
052124,秋田県,大仙市,大曲地域,2020(令和2）,サッカー場,花館グラウンド運動公園,"2,652",
052124,秋田県,大仙市,大曲地域,2021(令和3）,サッカー場,花館グラウンド運動公園,"2,790",
052124,秋田県,大仙市,大曲地域,2006(平成18）,武道館,大曲武道館,-,データなし
052124,秋田県,大仙市,大曲地域,2007(平成19）,武道館,大曲武道館,-,データなし
052124,秋田県,大仙市,大曲地域,2008(平成20）,武道館,大曲武道館,-,データなし
052124,秋田県,大仙市,大曲地域,2009(平成21）,武道館,大曲武道館,"13,759",
052124,秋田県,大仙市,大曲地域,2010(平成22）,武道館,大曲武道館,"14,778",
052124,秋田県,大仙市,大曲地域,2011(平成23）,武道館,大曲武道館,"12,133",
052124,秋田県,大仙市,大曲地域,2012(平成24）,武道館,大曲武道館,"15,041",
052124,秋田県,大仙市,大曲地域,2013(平成25）,武道館,大曲武道館,"15,650",
052124,秋田県,大仙市,大曲地域,2014(平成26）,武道館,大曲武道館,"17,111",
052124,秋田県,大仙市,大曲地域,2015(平成27）,武道館,大曲武道館,"15,880",
052124,秋田県,大仙市,大曲地域,2016(平成28）,武道館,大曲武道館,"15,280",
052124,秋田県,大仙市,大曲地域,2017(平成29）,武道館,大曲武道館,"15,271",
052124,秋田県,大仙市,大曲地域,2018(平成30）,武道館,大曲武道館,0,施設改修に向けた解体工事のため利用なし
052124,秋田県,大仙市,大曲地域,2019(令和1）,武道館,大曲武道館,0,改修工事（新築）のため利用なし
052124,秋田県,大仙市,大曲地域,2020(令和2）,武道館,大曲武道館,"5,651",
052124,秋田県,大仙市,大曲地域,2021(令和3）,武道館,大曲武道館,"28,285",
052124,秋田県,大仙市,大曲地域,2006(平成18）,トレーニングルーム,大曲体育館トレーニングルーム,-,データなし
052124,秋田県,大仙市,大曲地域,2007(平成19）,トレーニングルーム,大曲体育館トレーニングルーム,-,データなし
052124,秋田県,大仙市,大曲地域,2008(平成20）,トレーニングルーム,大曲体育館トレーニングルーム,-,データなし
052124,秋田県,大仙市,大曲地域,2009(平成21）,トレーニングルーム,大曲体育館トレーニングルーム,"6,703",
052124,秋田県,大仙市,大曲地域,2010(平成22）,トレーニングルーム,大曲体育館トレーニングルーム,"5,950",
052124,秋田県,大仙市,大曲地域,2011(平成23）,トレーニングルーム,大曲体育館トレーニングルーム,"5,174",
052124,秋田県,大仙市,大曲地域,2012(平成24）,トレーニングルーム,大曲体育館トレーニングルーム,"5,770",
052124,秋田県,大仙市,大曲地域,2013(平成25）,トレーニングルーム,大曲体育館トレーニングルーム,"6,584",
052124,秋田県,大仙市,大曲地域,2014(平成26）,トレーニングルーム,大曲体育館トレーニングルーム,"6,598",
052124,秋田県,大仙市,大曲地域,2015(平成27）,トレーニングルーム,大曲体育館トレーニングルーム,"7,325",
052124,秋田県,大仙市,大曲地域,2016(平成28）,トレーニングルーム,大曲体育館トレーニングルーム,"7,095",
052124,秋田県,大仙市,大曲地域,2017(平成29）,トレーニングルーム,大曲体育館トレーニングルーム,"7,625",
052124,秋田県,大仙市,大曲地域,2018(平成30）,トレーニングルーム,大曲体育館トレーニングルーム,"8,888",
052124,秋田県,大仙市,大曲地域,2019(令和1）,トレーニングルーム,大曲体育館トレーニングルーム,"5,469",
052124,秋田県,大仙市,大曲地域,2020(令和2）,トレーニングルーム,大曲体育館トレーニングルーム,"3,600",
052124,秋田県,大仙市,大曲地域,2021(令和3）,トレーニングルーム,大曲体育館トレーニングルーム,"3,979",
052124,秋田県,大仙市,大曲地域,2015(平成27）,その他運動広場,飯田運動広場（大曲西道路高架下）,924,H27年度新設
052124,秋田県,大仙市,大曲地域,2016(平成28）,その他運動広場,飯田運動広場（大曲西道路高架下）,"1,140",
052124,秋田県,大仙市,大曲地域,2017(平成29）,その他運動広場,飯田運動広場（大曲西道路高架下）,"3,043",
052124,秋田県,大仙市,大曲地域,2018(平成30）,その他運動広場,飯田運動広場（大曲西道路高架下）,"2,437",
052124,秋田県,大仙市,大曲地域,2019(令和1）,その他運動広場,飯田運動広場（大曲西道路高架下）,"2,552",
052124,秋田県,大仙市,大曲地域,2020(令和2）,その他運動広場,飯田運動広場（大曲西道路高架下）,"2,219",
052124,秋田県,大仙市,大曲地域,2021(令和3）,その他運動広場,飯田運動広場（大曲西道路高架下）,"1,978",
052124,秋田県,大仙市,大曲地域,2006(平成18）,プール,市民プール,"8,019",
052124,秋田県,大仙市,大曲地域,2007(平成19）,プール,市民プール,"6,442",
052124,秋田県,大仙市,大曲地域,2008(平成20）,プール,市民プール,"6,874",
052124,秋田県,大仙市,大曲地域,2009(平成21）,プール,市民プール,"4,955",
052124,秋田県,大仙市,大曲地域,2010(平成22）,プール,市民プール,"5,145",
052124,秋田県,大仙市,大曲地域,2011(平成23）,プール,市民プール,"5,107",
052124,秋田県,大仙市,大曲地域,2012(平成24）,プール,市民プール,"5,257",
052124,秋田県,大仙市,大曲地域,2013(平成25）,プール,市民プール,"4,065",
052124,秋田県,大仙市,大曲地域,2014(平成26）,プール,市民プール,"4,037",
052124,秋田県,大仙市,大曲地域,2015(平成27）,プール,市民プール,"4,462",
052124,秋田県,大仙市,大曲地域,2016(平成28）,プール,市民プール,"4,408",
052124,秋田県,大仙市,大曲地域,2017(平成29）,プール,市民プール,"3,472",
052124,秋田県,大仙市,大曲地域,2018(平成30）,プール,市民プール,"4,858",
052124,秋田県,大仙市,大曲地域,2019(令和1）,プール,市民プール,"4,384",
052124,秋田県,大仙市,大曲地域,2020(令和2）,プール,市民プール,"2,626",
052124,秋田県,大仙市,大曲地域,2021(令和3）,プール,市民プール,"3,960",
052124,秋田県,大仙市,神岡地域,2006(平成18）,野球場,神岡野球場,"16,253",
052124,秋田県,大仙市,神岡地域,2007(平成19）,野球場,神岡野球場,"5,606",
052124,秋田県,大仙市,神岡地域,2008(平成20）,野球場,神岡野球場,"5,498",
052124,秋田県,大仙市,神岡地域,2009(平成21）,野球場,神岡野球場,"5,845",
052124,秋田県,大仙市,神岡地域,2010(平成22）,野球場,神岡野球場,"9,744",
052124,秋田県,大仙市,神岡地域,2011(平成23）,野球場,神岡野球場,"10,138",
052124,秋田県,大仙市,神岡地域,2012(平成24）,野球場,神岡野球場,"9,089",
052124,秋田県,大仙市,神岡地域,2013(平成25）,野球場,神岡野球場,"9,842",
052124,秋田県,大仙市,神岡地域,2014(平成26）,野球場,神岡野球場,"9,643",
052124,秋田県,大仙市,神岡地域,2015(平成27）,野球場,神岡野球場,"9,801",
052124,秋田県,大仙市,神岡地域,2016(平成28）,野球場,神岡野球場,"9,880",
052124,秋田県,大仙市,神岡地域,2017(平成29）,野球場,神岡野球場,"10,215",
052124,秋田県,大仙市,神岡地域,2018(平成30）,野球場,神岡野球場,"9,562",
052124,秋田県,大仙市,神岡地域,2019(令和1）,野球場,神岡野球場,"9,074",
052124,秋田県,大仙市,神岡地域,2020(令和2）,野球場,神岡野球場,"1,314",
052124,秋田県,大仙市,神岡地域,2021(令和3）,野球場,神岡野球場,"1,471",
052124,秋田県,大仙市,神岡地域,2006(平成18）,野球場,中川原グラウンド,"8,469",
052124,秋田県,大仙市,神岡地域,2007(平成19）,野球場,中川原グラウンド,"5,315",
052124,秋田県,大仙市,神岡地域,2008(平成20）,野球場,中川原グラウンド,"3,469",
052124,秋田県,大仙市,神岡地域,2009(平成21）,野球場,中川原グラウンド,"3,497",
052124,秋田県,大仙市,神岡地域,2010(平成22）,野球場,中川原グラウンド,"6,655",
052124,秋田県,大仙市,神岡地域,2011(平成23）,野球場,中川原グラウンド,"1,514",
052124,秋田県,大仙市,神岡地域,2012(平成24）,野球場,中川原グラウンド,"3,458",
052124,秋田県,大仙市,神岡地域,2013(平成25）,野球場,中川原グラウンド,"3,394",
