市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数（回）,利用者数（人）,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2008(平成20）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2009(平成21）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2010(平成22）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2011(平成23）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2012(平成24）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2013(平成25）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2014(平成26）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2015(平成27）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2016(平成28）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2017(平成29）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2018(平成30）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2019(令和1）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,大綱交流館,2020(令和2）,279 ,"5,809 ",,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2005(平成17),-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2006(平成18）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2007(平成19）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2008(平成20）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2009(平成21）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2010(平成22）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2011(平成23）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2012(平成24）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2013(平成25）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2014(平成26）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2015(平成27）,-,-,,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2016(平成28）,233 ,"3,891 ",,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2017(平成29）,218 ,"3,404 ",,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2018(平成30）,453 ,"6,856 ",,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2019(令和1）,755 ,"10,467 ",,,,,
05212,秋田県,大仙市,西仙北地域,刈和野地区公民館,2020(令和2）,266 ,"2,445 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2005(平成17),485 ,"7,776 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2006(平成18）,315 ,"7,420 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2007(平成19）,426 ,"7,288 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2008(平成20）,388 ,"5,950 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2009(平成21）,333 ,"6,713 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2010(平成22）,333 ,"5,596 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2011(平成23）,309 ,"5,085 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2012(平成24）,240 ,"4,247 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2013(平成25）,266 ,"4,357 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2014(平成26）,245 ,"3,575 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2015(平成27）,320 ,"4,813 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2016(平成28）,254 ,"4,003 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2017(平成29）,230 ,"3,740 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2018(平成30）,280 ,"3,821 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2019(令和1）,308 ,"3,934 ",,,,,
05212,秋田県,大仙市,西仙北地域,土川地区公民館,2020(令和2）,147 ,"1,631 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2005(平成17),326 ,"5,804 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2006(平成18）,317 ,"4,918 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2007(平成19）,327 ,"5,558 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2008(平成20）,494 ,"9,154 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2009(平成21）,558 ,"10,728 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2010(平成22）,492 ,"6,741 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2011(平成23）,387 ,"7,013 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2012(平成24）,495 ,"6,013 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2013(平成25）,432 ,"5,191 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2014(平成26）,415 ,"4,451 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2015(平成27）,351 ,"3,861 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2016(平成28）,383 ,"4,539 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2017(平成29）,377 ,"5,053 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2018(平成30）,398 ,"4,044 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2019(令和1）,382 ,"4,173 ",,,,,
05212,秋田県,大仙市,西仙北地域,強首地区公民館,2020(令和2）,281 ,"2,385 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2005(平成17),499 ,"8,633 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2006(平成18）,403 ,"5,731 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2007(平成19）,446 ,"7,270 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2008(平成20）,439 ,"6,038 ",,,,,
05212,秋田県,大仙市,西仙北地域,大沢郷地区公民館,2009(平成21）,439 ,"5,951 ",,,,,
