市町村コード,都道府県名,市町村名,地域,年,1月（人）,2月（人）,3月（人）,4月（人）,5月（人）,6月（人）,7月（人）,8月（人）,9月（人）,10月（人）,11月（人）,12月（人）,計（人）
052124,秋田県,大仙市,仙北地域,2011（平成23）,8,7,5,6,8,13,10,10,6,8,22,7,110
052124,秋田県,大仙市,仙北地域,2012（平成24）,8,7,7,8,9,18,7,16,8,15,19,9,131
052124,秋田県,大仙市,仙北地域,2013（平成25）,8,10,10,9,13,15,12,17,9,15,18,8,144
052124,秋田県,大仙市,仙北地域,2014（平成26）,10,10,9,9,12,13,12,15,9,25,18,10,152
052124,秋田県,大仙市,仙北地域,2015（平成27）,11,10,10,9,13,13,14,21,11,17,18,10,161
052124,秋田県,大仙市,仙北地域,2016（平成28）,12,12,12,11,12,14,13,17,11,19,16,11,160
052124,秋田県,大仙市,仙北地域,2017（平成29）,10,9,9,11,12,11,14,21,10,19,14,9,157
052124,秋田県,大仙市,仙北地域,2018（平成30）,8,8,11,11,13,14,14,25,11,15,19,10,165
052124,秋田県,大仙市,仙北地域,2019（平成31）,10,10,13,11,14,14,13,20,12,16,16,10,164
052124,秋田県,大仙市,仙北地域,2020（令和2）,11,10,9,5,4,8,9,8,9,10,13,8,111
052124,秋田県,大仙市,仙北地域,2021（令和3）,9,8,9,8,9,8,9,9,7,11,11,9,112
052124,秋田県,大仙市,太田地域,2005（平成17）,30,25,16,13,19,22,26,19,23,29,20,21,269
052124,秋田県,大仙市,太田地域,2006（平成18）,32,27,18,12,21,25,25,23,26,33,24,18,289
052124,秋田県,大仙市,太田地域,2007（平成19）,33,26,17,19,21,36,25,21,26,29,17,13,289
052124,秋田県,大仙市,太田地域,2008（平成20）,39,28,18,13,14,22,24,22,22,26,19,14,261
052124,秋田県,大仙市,太田地域,2009（平成21）,34,25,26,19,23,22,24,23,24,28,18,14,280
052124,秋田県,大仙市,太田地域,2010（平成22）,28,24,18,17,22,21,24,21,21,26,17,15,254
052124,秋田県,大仙市,太田地域,2011（平成23）,27,21,15,14,20,22,24,22,21,28,18,14,246
052124,秋田県,大仙市,太田地域,2012（平成24）,29,20,18,16,21,20,21,21,23,27,16,15,247
052124,秋田県,大仙市,太田地域,2013（平成25）,26,22,18,16,32,21,21,23,23,27,17,16,262
052124,秋田県,大仙市,太田地域,2014（平成26）,26,24,18,16,22,18,19,22,23,26,17,14,245
052124,秋田県,大仙市,太田地域,2015（平成27）,16,23,15,15,23,24,19,20,21,22,17,13,234
052124,秋田県,大仙市,太田地域,2016（平成28）,23,23,17,15,20,19,19,21,20,21,18,15,231
052124,秋田県,大仙市,太田地域,2017（平成29）,22,23,16,14,20,19,20,22,19,20,15,15,231
052124,秋田県,大仙市,太田地域,2018（平成30）,24,20,14,12,18,17,17,19,19,19,16,14,215
052124,秋田県,大仙市,太田地域,2019（平成31）,25,21,14,14,18,19,19,21,18,16,14,13,217
052124,秋田県,大仙市,太田地域,2020（令和2）,16,15,10,6,8,8,13,11,14,14,10,10,141
052124,秋田県,大仙市,太田地域,2021（令和3）,24,18,9,7,8,10,14,10,10,12,8,9,146
