市町村コード,都道府県名,市町村名,地域,年度,専用住宅（件数）,専用住宅（面積）,共同住宅（件数）,共同住宅（面積）,併用住宅（件数）,併用住宅（面積）,その他（件数）,その他（面積）,総数（件数）,総数（面積）,新築（件数）,新築（面積）,増築（件数）,増築（面積）,改築その他（件数）,改築その他（面積）,木造（件数）,木造（面積）,鉄骨他（件数）,鉄骨他（面積）
052124,秋田県,大仙市,西仙北地域,2021(令和3）,22 ,2566.09 ,0 ,0.00 ,0 ,0.00 ,4 ,208.56 ,26 ,2774.65 ,22 ,2523.61 ,4 ,251.04 ,0 ,0.00 ,23 ,2663.07 ,3 ,111.58 
052124,秋田県,大仙市,中仙地域,2005(平成17),55 ,8056.23 ,0 ,0.00 ,5 ,631.13 ,27 ,3856.17 ,87 ,12543.53 ,51 ,8129.95 ,20 ,1483.55 ,16 ,2930.03 ,78 ,10179.01 ,9 ,2364.52 
052124,秋田県,大仙市,中仙地域,2006(平成18）,29 ,4423.70 ,0 ,0.00 ,2 ,169.09 ,25 ,2100.53 ,56 ,6693.32 ,33 ,4699.45 ,20 ,1460.20 ,3 ,533.67 ,51 ,6120.40 ,5 ,572.92 
052124,秋田県,大仙市,中仙地域,2007(平成19）,24 ,3989.37 ,1 ,179.02 ,0 ,0.00 ,22 ,1484.68 ,47 ,5653.07 ,29 ,3589.86 ,13 ,1260.71 ,5 ,802.50 ,44 ,5405.75 ,3 ,247.32 
052124,秋田県,大仙市,中仙地域,2008(平成20）,26 ,3357.82 ,0 ,0.00 ,0 ,0.00 ,22 ,1612.50 ,48 ,4970.32 ,34 ,3612.97 ,7 ,433.98 ,7 ,923.37 ,43 ,4616.94 ,5 ,353.38 
052124,秋田県,大仙市,中仙地域,2009(平成21）,26 ,4092.94 ,0 ,0.00 ,0 ,0.00 ,12 ,1069.01 ,38 ,5161.95 ,24 ,3631.37 ,11 ,987.21 ,3 ,543.37 ,36 ,4721.34 ,2 ,440.61 
052124,秋田県,大仙市,中仙地域,2010(平成22）,20 ,3064.24 ,0 ,0.00 ,1 ,105.74 ,8 ,548.77 ,29 ,3718.75 ,22 ,2830.92 ,5 ,435.04 ,2 ,452.79 ,28 ,3679.09 ,1 ,39.66 
052124,秋田県,大仙市,中仙地域,2011(平成23）,14 ,1682.94 ,0 ,0.00 ,0 ,0.00 ,18 ,1999.21 ,32 ,3682.15 ,19 ,1661.00 ,8 ,469.53 ,5 ,1551.62 ,29 ,2454.82 ,3 ,1227.33 
052124,秋田県,大仙市,中仙地域,2012(平成24）,33 ,4819.54 ,0 ,0.00 ,0 ,0.00 ,17 ,1316.02 ,50 ,6135.56 ,32 ,3969.36 ,8 ,781.85 ,10 ,1384.35 ,44 ,5685.98 ,6 ,449.58 
052124,秋田県,大仙市,中仙地域,2013(平成25）,23 ,3142.77 ,0 ,0.00 ,2 ,93.72 ,7 ,775.66 ,32 ,4012.15 ,18 ,2768.74 ,9 ,666.60 ,5 ,576.81 ,32 ,4012.15 ,0 ,0.00 
052124,秋田県,大仙市,中仙地域,2014(平成26）,19 ,2651.00 ,0 ,0.00 ,0 ,0.00 ,22 ,3882.67 ,41 ,6533.67 ,31 ,5719.85 ,8 ,652.52 ,2 ,161.30 ,34 ,4636.58 ,7 ,1897.09 
052124,秋田県,大仙市,中仙地域,2015(平成27）,18 ,2266.34 ,1 ,180.12 ,1 ,44.55 ,16 ,2610.33 ,36 ,5101.34 ,27 ,4302.17 ,8 ,682.67 ,1 ,116.50 ,32 ,4645.67 ,4 ,455.67 
052124,秋田県,大仙市,中仙地域,2016(平成28）,28 ,4607.40 ,0 ,0.00 ,0 ,0.00 ,15 ,7833.63 ,43 ,12441.03 ,34 ,5358.91 ,9 ,7082.12 ,0 ,0.00 ,38 ,6425.28 ,5 ,6015.75 
052124,秋田県,大仙市,中仙地域,2017(平成29）,16 ,1904.40 ,0 ,0.00 ,0 ,0.00 ,20 ,2874.66 ,36 ,4779.06 ,26 ,3691.02 ,9 ,951.42 ,1 ,136.62 ,30 ,3666.94 ,6 ,1112.12 
052124,秋田県,大仙市,中仙地域,2018(平成30）,12 ,1584.57 ,0 ,0.00 ,1 ,199.57 ,9 ,1490.35 ,22 ,3274.49 ,18 ,2179.15 ,3 ,335.01 ,1 ,760.33 ,19 ,2405.79 ,3 ,868.70 
052124,秋田県,大仙市,中仙地域,2019(令和1）,19 ,2042.70 ,0 ,0.00 ,0 ,0.00 ,9 ,2982.35 ,28 ,5025.05 ,17 ,3016.87 ,11 ,2008.18 ,0 ,0.00 ,27 ,4830.35 ,1 ,194.70 
052124,秋田県,大仙市,中仙地域,2020(令和2）,18 ,2308.65 ,0 ,0.00 ,0 ,0.00 ,14 ,4274.52 ,32 ,6583.17 ,23 ,5736.29 ,9 ,846.88 ,0 ,0.00 ,30 ,5414.27 ,2 ,1168.90 
052124,秋田県,大仙市,中仙地域,2021(令和3）,29 ,3799.95 ,0 ,0.00 ,1 ,89.44 ,11 ,2591.50 ,41 ,6480.89 ,27 ,3454.43 ,11 ,1296.10 ,3 ,1730.36 ,31 ,3941.92 ,10 ,2538.97 
052124,秋田県,大仙市,協和地域,2005(平成17),61 ,14376.59 ,0 ,0.00 ,2 ,422.39 ,37 ,6953.20 ,100 ,21752.18 ,69 ,18247.38 ,27 ,2837.14 ,4 ,667.66 ,89 ,16569.13 ,11 ,5183.05 
052124,秋田県,大仙市,協和地域,2006(平成18）,42 ,8411.60 ,0 ,0.00 ,0 ,0.00 ,31 ,10044.72 ,73 ,18456.32 ,57 ,15847.85 ,16 ,2608.47 ,0 ,0.00 ,64 ,10007.11 ,9 ,8449.21 
052124,秋田県,大仙市,協和地域,2007(平成19）,21 ,3949.50 ,0 ,0.00 ,0 ,0.00 ,17 ,2324.17 ,38 ,6273.67 ,31 ,5867.61 ,7 ,406.06 ,0 ,0.00 ,34 ,5424.46 ,4 ,849.21 
052124,秋田県,大仙市,協和地域,2008(平成20）,5 ,799.48 ,0 ,0.00 ,0 ,0.00 ,8 ,389.17 ,13 ,1188.65 ,7 ,721.38 ,3 ,160.28 ,3 ,306.99 ,13 ,1188.65 ,0 ,0.00 
052124,秋田県,大仙市,協和地域,2009(平成21）,4 ,495.21 ,8 ,1263.67 ,0 ,0.00 ,10 ,1759.28 ,22 ,3518.16 ,17 ,2172.71 ,3 ,1247.15 ,2 ,98.30 ,20 ,2491.50 ,2 ,1026.66 
052124,秋田県,大仙市,協和地域,2010(平成22）,16 ,2301.05 ,2 ,305.72 ,1 ,79.32 ,7 ,696.50 ,26 ,3382.59 ,21 ,2975.10 ,2 ,165.88 ,3 ,241.61 ,25 ,3221.78 ,1 ,160.81 
052124,秋田県,大仙市,協和地域,2011(平成23）,10 ,1202.77 ,0 ,0.00 ,0 ,0.00 ,12 ,4820.48 ,22 ,6023.25 ,19 ,5075.22 ,1 ,707.48 ,2 ,240.55 ,17 ,2615.69 ,5 ,3407.56 
052124,秋田県,大仙市,協和地域,2012(平成24）,12 ,1493.15 ,0 ,0.00 ,0 ,0.00 ,16 ,1797.42 ,28 ,3290.57 ,19 ,2471.72 ,6 ,489.54 ,3 ,329.31 ,26 ,2982.56 ,2 ,308.01 
052124,秋田県,大仙市,協和地域,2013(平成25）,10 ,1007.75 ,0 ,0.00 ,0 ,0.00 ,4 ,303.60 ,14 ,1311.35 ,10 ,1166.32 ,4 ,145.03 ,0 ,0.00 ,14 ,1311.35 ,0 ,0.00 
052124,秋田県,大仙市,協和地域,2014(平成26）,7 ,959.92 ,0 ,0.00 ,0 ,0.00 ,16 ,6112.81 ,23 ,7072.73 ,20 ,6859.34 ,2 ,87.39 ,1 ,126.00 ,16 ,1570.20 ,7 ,5502.53 
052124,秋田県,大仙市,協和地域,2015(平成27）,12 ,1299.85 ,2 ,417.98 ,0 ,0.00 ,16 ,2405.48 ,30 ,4123.31 ,22 ,3543.48 ,7 ,399.70 ,1 ,180.13 ,22 ,2204.35 ,8 ,1918.96 
052124,秋田県,大仙市,協和地域,2016(平成28）,9 ,898.76 ,0 ,0.00 ,1 ,94.69 ,10 ,866.40 ,20 ,1859.85 ,17 ,1718.87 ,3 ,140.98 ,0 ,0.00 ,15 ,1208.03 ,5 ,651.82 
