地域コード,都道府県,市町村,地域,地区,年次,総数(ha),田(ha),畑(ha),樹園地(ha)
052124,秋田県,大仙市,西仙北地域,大沢郷,2010(平成22),615,549,66,0
052124,秋田県,大仙市,西仙北地域,強首,2010(平成22),393,285,109,0
052124,秋田県,大仙市,西仙北地域,全域,2015(平成27),1704,1509,192,3
052124,秋田県,大仙市,西仙北地域,刈和野,2015(平成27),72,69,3,0
052124,秋田県,大仙市,西仙北地域,土川,2015(平成27),639,575,61,2
052124,秋田県,大仙市,西仙北地域,大沢郷,2015(平成27),486,445,40,0
052124,秋田県,大仙市,西仙北地域,強首,2015(平成27),508,419,88,0
052124,秋田県,大仙市,西仙北地域,全域,2020(令和2),2041,1875,164,3
052124,秋田県,大仙市,西仙北地域,刈和野,2020(令和2),123,120,2,0
052124,秋田県,大仙市,西仙北地域,土川,2020(令和2),608,581,25,2
052124,秋田県,大仙市,西仙北地域,大沢郷,2020(令和2),479,437,41,1
052124,秋田県,大仙市,西仙北地域,強首,2020(令和2),831,736,95,0
052124,秋田県,大仙市,中仙地域,全域,1975(昭和50),3347,3200,138,9
052124,秋田県,大仙市,中仙地域,長野,1975(昭和50),1096,1037,57,2
052124,秋田県,大仙市,中仙地域,清水,1975(昭和50),791,769,21,0
052124,秋田県,大仙市,中仙地域,豊川,1975(昭和50),704,678,26,0
052124,秋田県,大仙市,中仙地域,豊岡,1975(昭和50),757,716,34,7
052124,秋田県,大仙市,中仙地域,全域,1980(昭和55),3395,3279,110,6
052124,秋田県,大仙市,中仙地域,長野,1980(昭和55),1121,1073,48,0
052124,秋田県,大仙市,中仙地域,清水,1980(昭和55),820,803,16,0
052124,秋田県,大仙市,中仙地域,豊川,1980(昭和55),701,681,19,0
052124,秋田県,大仙市,中仙地域,豊岡,1980(昭和55),754,722,27,6
052124,秋田県,大仙市,中仙地域,全域,1985(昭和60),3452,3337,108,7
052124,秋田県,大仙市,中仙地域,長野,1985(昭和60),1127,1079,48,0
052124,秋田県,大仙市,中仙地域,清水,1985(昭和60),833,816,17,0
052124,秋田県,大仙市,中仙地域,豊川,1985(昭和60),712,694,17,0
052124,秋田県,大仙市,中仙地域,豊岡,1985(昭和60),780,748,26,6
052124,秋田県,大仙市,中仙地域,全域,1990(平成2),3394,3291,95,8
052124,秋田県,大仙市,中仙地域,長野,1990(平成2),1112,1070,39,3
052124,秋田県,大仙市,中仙地域,清水,1990(平成2),842,828,14,0
052124,秋田県,大仙市,中仙地域,豊川,1990(平成2),687,671,15,0
052124,秋田県,大仙市,中仙地域,豊岡,1990(平成2),753,721,26,6
052124,秋田県,大仙市,中仙地域,全域,1995(平成7),3347,3235,106,6
052124,秋田県,大仙市,中仙地域,長野,1995(平成7),1089,1048,41,0
052124,秋田県,大仙市,中仙地域,清水,1995(平成7),837,820,17,0
052124,秋田県,大仙市,中仙地域,豊川,1995(平成7),672,653,18,0
052124,秋田県,大仙市,中仙地域,豊岡,1995(平成7),749,714,29,6
052124,秋田県,大仙市,中仙地域,全域,2000(平成12),3261,3162,94,4
052124,秋田県,大仙市,中仙地域,長野,2000(平成12),1040,999,39,1
052124,秋田県,大仙市,中仙地域,清水,2000(平成12),827,813,14,0
052124,秋田県,大仙市,中仙地域,豊川,2000(平成12),671,656,15,0
052124,秋田県,大仙市,中仙地域,豊岡,2000(平成12),723,694,26,3
052124,秋田県,大仙市,中仙地域,全域,2005(平成17),3188,3113,71,3
052124,秋田県,大仙市,中仙地域,長野,2005(平成17),1010,982,28,0
052124,秋田県,大仙市,中仙地域,清水,2005(平成17),818,808,10,0
052124,秋田県,大仙市,中仙地域,豊川,2005(平成17),642,631,11,0
052124,秋田県,大仙市,中仙地域,豊岡,2005(平成17),717,692,22,3
052124,秋田県,大仙市,中仙地域,全域,2010(平成22),2239,2176,60,3
052124,秋田県,大仙市,中仙地域,長野,2010(平成22),661,637,24,0
052124,秋田県,大仙市,中仙地域,清水,2010(平成22),682,675,7,0
052124,秋田県,大仙市,中仙地域,豊川,2010(平成22),352,342,10,0
052124,秋田県,大仙市,中仙地域,豊岡,2010(平成22),544,521,20,3
052124,秋田県,大仙市,中仙地域,全域,2015(平成27),2277,2227,47,3
052124,秋田県,大仙市,中仙地域,長野,2015(平成27),672,653,19,0
052124,秋田県,大仙市,中仙地域,清水,2015(平成27),560,555,5,0
052124,秋田県,大仙市,中仙地域,豊川,2015(平成27),462,453,9,0
052124,秋田県,大仙市,中仙地域,豊岡,2015(平成27),582,567,13,2
052124,秋田県,大仙市,中仙地域,全域,2020(令和2),3312,3166,144,2
052124,秋田県,大仙市,中仙地域,長野,2020(令和2),1080,1027,52,0
052124,秋田県,大仙市,中仙地域,清水,2020(令和2),860,826,34,0
052124,秋田県,大仙市,中仙地域,豊川,2020(令和2),703,671,33,0
052124,秋田県,大仙市,中仙地域,豊岡,2020(令和2),668,641,25,2
052124,秋田県,大仙市,協和地域,全域,1975(昭和50),2093,1804,282,7
052124,秋田県,大仙市,協和地域,荒川,1975(昭和50),568,466,100,2
052124,秋田県,大仙市,協和地域,峰吉川,1975(昭和50),253,211,41,1
052124,秋田県,大仙市,協和地域,淀川,1975(昭和50),899,795,100,4
052124,秋田県,大仙市,協和地域,船岡,1975(昭和50),373,332,41,0
052124,秋田県,大仙市,協和地域,全域,1980(昭和55),2237,1932,299,6
052124,秋田県,大仙市,協和地域,荒川,1980(昭和55),637,531,105,1
052124,秋田県,大仙市,協和地域,峰吉川,1980(昭和55),248,214,33,0
052124,秋田県,大仙市,協和地域,淀川,1980(昭和55),950,815,130,5
052124,秋田県,大仙市,協和地域,船岡,1980(昭和55),402,371,30,0
052124,秋田県,大仙市,協和地域,全域,1985(昭和60),2244,1920,317,7
052124,秋田県,大仙市,協和地域,荒川,1985(昭和60),643,523,120,1
052124,秋田県,大仙市,協和地域,峰吉川,1985(昭和60),248,215,31,1
052124,秋田県,大仙市,協和地域,淀川,1985(昭和60),957,816,136,5
052124,秋田県,大仙市,協和地域,船岡,1985(昭和60),396,366,30,0
052124,秋田県,大仙市,協和地域,全域,1990(平成2),2153,1848,296,9
052124,秋田県,大仙市,協和地域,荒川,1990(平成2),638,508,129,1
052124,秋田県,大仙市,協和地域,峰吉川,1990(平成2),244,212,32,1
052124,秋田県,大仙市,協和地域,淀川,1990(平成2),887,767,114,6
052124,秋田県,大仙市,協和地域,船岡,1990(平成2),384,362,21,1
052124,秋田県,大仙市,協和地域,全域,1995(平成7),2050,1741,301,8
052124,秋田県,大仙市,協和地域,荒川,1995(平成7),595,460,134,0
052124,秋田県,大仙市,協和地域,峰吉川,1995(平成7),202,182,20,0
052124,秋田県,大仙市,協和地域,淀川,1995(平成7),880,761,113,6
052124,秋田県,大仙市,協和地域,船岡,1995(平成7),372,337,34,1
052124,秋田県,大仙市,協和地域,全域,2000(平成12),1999,1708,289,3
052124,秋田県,大仙市,協和地域,荒川,2000(平成12),593,459,133,0
052124,秋田県,大仙市,協和地域,峰吉川,2000(平成12),193,172,21,0
052124,秋田県,大仙市,協和地域,淀川,2000(平成12),866,760,105,2
052124,秋田県,大仙市,協和地域,船岡,2000(平成12),348,317,30,0
052124,秋田県,大仙市,協和地域,全域,2005(平成17),1723,1564,157,3
052124,秋田県,大仙市,協和地域,荒川,2005(平成17),436,380,55,1
052124,秋田県,大仙市,協和地域,峰吉川,2005(平成17),183,167,16,0
052124,秋田県,大仙市,協和地域,淀川,2005(平成17),791,711,78,2
052124,秋田県,大仙市,協和地域,船岡,2005(平成17),314,306,8,0
052124,秋田県,大仙市,協和地域,全域,2010(平成22),1223,1079,143,1
052124,秋田県,大仙市,協和地域,荒川,2010(平成22),390,334,56,0
052124,秋田県,大仙市,協和地域,峰吉川,2010(平成22),175,161,14,0
052124,秋田県,大仙市,協和地域,淀川,2010(平成22),380,322,57,1
052124,秋田県,大仙市,協和地域,船岡,2010(平成22),278,262,16,0
052124,秋田県,大仙市,協和地域,全域,2015(平成27),1060,953,106,1
052124,秋田県,大仙市,協和地域,荒川,2015(平成27),334,277,57,0
052124,秋田県,大仙市,協和地域,峰吉川,2015(平成27),145,141,4,0
052124,秋田県,大仙市,協和地域,淀川,2015(平成27),343,303,539,1
052124,秋田県,大仙市,協和地域,船岡,2015(平成27),237,232,46,0
052124,秋田県,大仙市,協和地域,全域,2020(令和2),1614,1428,181,5
052124,秋田県,大仙市,協和地域,荒川,2020(令和2),414,317,97,0
052124,秋田県,大仙市,協和地域,峰吉川,2020(令和2),179,168,10,0
052124,秋田県,大仙市,協和地域,淀川,2020(令和2),780,710,69,1
052124,秋田県,大仙市,協和地域,船岡,2020(令和2),240,231,5,4
052124,秋田県,大仙市,南外地域,全域,1975(昭和50),1089,940,138,12
052124,秋田県,大仙市,南外地域,外小友,1975(昭和50),349,300,39,9
052124,秋田県,大仙市,南外地域,南楢岡,1975(昭和50),741,640,98,2
052124,秋田県,大仙市,南外地域,全域,1980(昭和55),1142,1017,114,11
052124,秋田県,大仙市,南外地域,外小友,1980(昭和55),368,324,35,8
052124,秋田県,大仙市,南外地域,南楢岡,1980(昭和55),774,692,80,2
052124,秋田県,大仙市,南外地域,全域,1985(昭和60),1168,1042,113,13
052124,秋田県,大仙市,南外地域,外小友,1985(昭和60),389,342,36,11
